1.a art.一(个)；每一(个)
1649.generation n.一代，一代人；产生
1650.generator n.发电机；发生者
1651.generous a.慷慨的；宽厚的
1652.genius n.天才，天赋，天资
1653.gentle a.和蔼的；轻柔的
1654.gentleman n.绅士；有教养的人
1655.gently ad.有礼貌地；柔和地
1656.genuine a.真的；真正的
1657.geography n.地理，地理学
1658.geometry n.几何，几何学
1659.germ n.微生物，细菌，幼芽
1660.German a.德国的 n.德国人
1661.Germany n.德意志，德国
1662.gesture n.姿势，手势；姿态
1663.get vi.变得，成为；到达
1664.ghost n.鬼，灵魂；鬼魂
1665.giant n.巨人；巨物
1666.gift n.礼物，赠品；天赋
1667.girl n.女孩子，姑娘；女儿
1668.give vt.做，作；送给
1669.glad a.高兴的；乐意的
1670.glance vi.看一下 n.一瞥
1671.glare vi.瞪眼 n.瞪眼
1672.glass n.玻璃；玻璃杯
1673.glide vi.滑动；消逝 n.滑行
1674.glimpse vt.瞥见 n.一瞥，一看
1675.glitter vi.闪闪发光 n.闪光
1676.globe n.地球，世界；地界仪
1677.gloomy a.黑暗的；令人沮丧的
1678.glorious a.光荣的；壮丽的
1679.glory n.光荣；荣誉的事
1680.glove n.手套
1681.glow n.白热光 vi.发白热光
1682.glue n.胶，胶水 vt.胶合
1683.go vi.去；走；变为
1684.goal n.球门；得分；目的
1685.goat n.山羊
1686.God n.神，神像；上帝
1687.gold n.金；钱财 a.金制的
1688.golden a.金色的；极好的
1689.golf n.高尔夫球
1690.good a.好的；有本事的
1691.goodbye int.再见，再会
1692.goodness n.优良，德性，仁慈
1693.goods n.货物，商品
1694.goose n.鹅，雌鹅
1695.govern vt.统治，治理；支配
1696.government n.政府；治理；政治
1697.governor n.州长；主管人员
1698.gown n.长袍，长外衣
1699.grace n.优美，文雅；雅致
1700.graceful a.优美的，优雅的
1701.gracious a.有礼貌的；仁慈的
1702.grade vt.给…分等级 n.等级
1703.gradual a.逐渐的；渐进的
1704.gradually ad.逐渐地，逐步地
1705.graduate n.毕业生 vi.大学毕业
1706.grain n.谷物，谷粒；颗粒
1707.gramme n.克(重量单位)
1708.grammar n.语法；语法书
1709.grammatical a.语法上的
1710.grand a.宏伟的；重大的
1711.granddaughter n.孙女，外孙女
1712.grandfather n.祖父；外祖父
1713.grandmother n.祖母，外祖母
1714.grandson n.孙子，外孙子
1715.grant n.授给物 vt.授予
1716.grape n.葡萄；葡萄藤
1717.graph n.(曲线)图，图表
1718.grasp vt.抓紧；掌握 n.抓
1719.grass n.草；牧草；草地
1720.grateful a.感激的；令人愉快的
1721.gratitude a.感激，感谢，感恩
1722.grave n.坟墓 a.严重的
1723.gravity n.重力，引力；严重性
1724.gray a.灰色的 n.灰色
1725.great a.大的；伟大的
1726.greatly ad.大大地，非常
1727.greedy a.贪吃的；贪婪的
1728.Greek a.希腊的 n.希腊人
1729.green a.绿色的 n.绿色
1730.greenhouse n.温室，玻璃暖房
1731.greet vt.问候，招呼；反应
1732.greeting n.问候，招呼，致敬
1733.grey a.灰色的 n.灰色
1734.grieve vt.使悲痛 vi.悲痛
1735.grind vt.磨(碎)；磨快
1736.grip vt.握紧，抓牢 n.紧握
1737.groan vi.哼，呻吟 n.呻吟
1738.grocer n.食品商；杂货商
1739.grocery n.食品杂货店
1740.gross a.总的；严重的
1741.ground n.地；场地；根据
1742.group n.小组，群 vi.聚集
1743.grow vi.生长；变得；增长
1744.growth n.增长；增长量；生长
1745.guarantee n.保证；担保物
1746.guard vt.守卫；看守 n.卫兵
1747.guess vt.&vi.&n.猜测，推测
1748.guest n.客人，宾客；旅客
1749.guidance n.引导，指导，领导
1750.guide n.导游者 vt.给…导游
1751.guilty a.内疚的；有罪的
1752.gulf n.海湾
1753.gum n.口香糖；树胶
1754.gun n.枪，炮，手枪
1755.gunpowder n.黑色火药；有烟火药
1756.gymnasium n.体育馆，健身房 
1757.habit n.习惯；习性
1758.habitual a.习惯性的，惯常的
1759.hair n.头发，毛发；毛
1760.haircut n.理发
1761.half n.半，一半 a.一半的
1762.hall n.门厅；过道；会堂
1763.halt vi.停止；立定 n.停住
1764.hamburger n.汉堡包，牛肉饼
1765.hammer n.锤，榔头 vt.锤击
1766.hand n.手；人手；指针
1767.handful n.一把；少数，一小撮
1768.handkerchief n.手帕
1769.handle n.柄，把手 vt.拿，触
1770.handsome a.英俊的；相当大的
1771.handwriting n.笔迹，手迹，书法
1772.handy a.手边的；便于使用的
1773.hang vt.挂，悬；吊死
1774.happen vi.发生；碰巧，恰好
1775.happiness n.幸福，幸运；快乐
1776.happy a.快乐的；幸福的
1777.harbour n.海港，港口 vt.庇护
1778.hard a.硬的；困难的
1779.harden vt.使变硬 vi.变硬
1780.hardly ad.几乎不，简直不
1781.hardship n.艰难，困苦
1782.hardware n.五金器具；硬件
1783.hare n.野兔
1784.harm n.伤害，损害 vt.损害
1785.harmful a.有害的
1786.harmony n.调合，协调，和谐
1787.harness vt.治理 n.马具，挽具
1788.harsh a.严厉的；刺耳的
1789.harvest n.收获，收成 vt.收割
1790.haste n.急速，急忙；草率
1791.hasten vt.催促 vi.赶紧
1792.hasty a.急速的；仓促的
1793.hat n.帽子(一般指有边的)
1794.hatch vt.孵出 vi.(蛋)孵化
1795.hate vt.恨，憎恨；不喜欢
1796.hateful a.可恨的，可恶的
1797.hatred n.憎恶，憎恨，仇恨
1798.have v.aux.已经 vt.有；吃
1799.hawk n.鹰，隼
1800.hay n.干草
1801.hazard n.危险；公害
1802.he pron.(主格)他
1803.head n.头；上端 vt.率领
1804.headache n.头痛；头痛的事
1805.heading n.标题，题词，题名
1806.headline n.大字标题；新闻提要
1807.headmaster n.校长
1808.headquarters n.司令部；总部
1809.heal vt.治愈；使和解
1810.health n.健康，健康状况
1811.healthy a.健康的；有益健康的
1812.heap n.(一)堆；大量
1813.hear vt.听见；审讯；听说
1814.heart n.心，内心；勇气
1815.heat n.热，炎热 vi.变热
1816.heating n.加热，供暖
1817.heaven n.天堂；天，天空
1818.heavily ad.重重地；大量地
1819.heavy a.重的；大的；充满的
1820.hedge n.篱笆，树篱；障碍物
1821.heel n.脚后跟，踵，后跟
1822.height n.高，高度；高处
1823.heir n.后嗣，继承人
1824.helicopter n.直升机
1825.hell n.地狱；极大的痛苦
1826.hello int.喂
1827.helmet n.头盔，钢盔
1828.help vt.帮助；援助 n.帮手
1829.helpful a.给予帮助的；有用的
1830.helpless a.无助的；无能的
1831.hen n.母鸡，雌禽
1832.hence ad.因此，所以；今后
1833.her pron.(宾格)她；她的
1834.herd n.兽群，牧群 vt.放牧
1835.here ad.这里；向这里
1836.hero n.男主角；英雄；勇士
1837.heroic a.英雄的；英勇的
1838.heroine n.女主角；女英雄
1839.hers pron.她的(所有物)
1840.herself pron.她自己；她亲自
1841.hesitate vi.犹豫，踌躇；含糊
1842.hi ini.嗨(表示问候等)
1843.hide vt.把…藏起来；隐瞒
1844.high a.高的；高级的 ad.高
1845.highly ad.高度地，很，非常
1846.highway n.公路；大路
1847.hill n.小山，山岗；丘陵
1848.hillside n.(小山)山腰，山坡
1849.him pron.(宾格)他
1850.himself pron.他自己；他亲自
1851.hint n.暗示，示意；建议
1852.hire vt.租借 n.租用，雇用
1853.his pron.他的，他的东西
1854.historical a.历史的，有关历史的
1855.history n.历史；个人经历
1856.hit vt.打；碰撞 n.击
1857.hobby n.业余爱好，癖好
1858.hold vt.拿住；掌握；拥有
1859.hole n.洞；孔眼，裂开处
1860.holiday n.假日，节日；假期
1861.hollow a.空的；空洞的
1862.holy a.神圣的；圣洁的
1863.home n.家；家乡 a.家庭的
1864.honest a.诚实的；可敬的
1865.honesty n.诚实，正直
1866.honey n.蜜，蜂蜜；甜，甜蜜
1867.honeymoon n.蜜月
1868.honour n.光荣；尊敬，敬意
1869.honourable a.诚实的；光荣的
1870.hook n.钩，挂钩 vt.钩住
1871.hope n.&vt.&vi.希望
1872.hopeful a.有希望的
1873.hopeless a.没有希望的，绝望的
1874.horizon n.地平线；眼界，见识
1875.horizontal a.地平的；水平的
1876.horn n.号角；警报器；角
1877.horror n.恐怖；战栗；憎恶
1878.horse n.马；马科动物
1879.horsepower n.马力
1880.hospital n.医院
1881.host n.主人；东道主
1882.hostess n.女主人；空姐
1883.hostile a.敌方的；不友善的
1884.hot a.热的；刺激的；辣的
1885.hotel n.旅馆
1886.hour n.小时；时间，时刻
1887.house n.房屋，住宅；商号
1888.household n.家庭，户；家务
1889.housewife n.家庭主妇
1890.how ad.怎么；怎样；多少
1891.however ad.然而；不管怎样
1892.huge a.巨大的，庞大的
1893.human a.人的，人类的 n.人
1894.humble a.谦逊的；地位低下的
1895.humid a.湿的，湿气重的
1896.humorous a.富于幽默的，诙谐的
1897.humour n.幽默，诙谐，幽默感
1898.hundred num.百，百个 n.许多
1899.hunger n.饿，饥饿；渴望
1900.hungry a.饥饿的；渴望的
1901.hunt n.打猎；搜寻 vt.追猎
1902.hurry vi.赶紧 vt.催促
1903.hurt vt.使受伤；使痛心
1904.husband n.丈夫
1905.hut n.小屋，棚屋
1906.hydrogen n.氢 
1907.ice n.冰，冰块 vt.冰镇
1908.ice-cream n.冰淇淋
1909.idea n.想法；思想；意见
1910.ideal a.理想的；观念的
1911.identical a.完全相同的；同一的
1912.identify vt.认出，识别，鉴定
1913.idiom n.习语，成语
1914.idle a.空闲的；懒散的
1915.i.e. (=that is)那就是，即
1916.if conj.假如，如果
1917.ignorant a.不知道的；无知的
1918.ignore vt.不顾，不理，忽视
1919.ill a.有病的；坏的 ad.坏
1920.illegal a.不合法的，非法的
1921.illness n.病，疾病
1922.illustrate vt.(用图等)说明
1923.illustration n.说明，图解；例证
1924.image n.像；形象；映象
1925.imaginary a.想象中的，假想的
1926.imagination n.想象；想象力；空想
1927.imagine vt.想象，设想；料想
1928.imitate vt.模仿，仿效；仿制
1929.immediate a.立即的；直接的
1930.immediately ad.立即；直接地
1931.immense a.巨大的；极好的
1932.immigrant n.移民 a.移民的
1933.impact n.影响，作用；冲击
1934.impatient a.不耐烦的，急躁的
1935.implication n.含义，暗示，暗指
1936.imply vt.暗示，意指
1937.import vt.&n.输入，进口
1938.importance n.重要；重要性
1939.important a.重要的；有势力的
1940.impose vt.把…强加；征(税)
1941.impossible a.不可能的，办不到的
1942.impress vt.给…深刻印象
1943.impression n.印；印象；印记
1944.impressive a.给人印象深刻的
1945.imprison vt.关押，监禁；限制
1946.improve vt.使更好 vi.改善
1947.improvement n.改进，改善；改进处
1948.in prep.在…里ad.进，入
1949.inch n.英寸
1950.incident n.发生的事；事件
1951.incline n.斜坡 vt.使倾斜
1952.include vt.包括，包含
1953.income n.收入；收益；进款
1954.incorrect a.不正确的，错误的
1955.increase vt.&vi.&n.增加
1956.increasingly ad.日益，越来越多地
1957.indeed ad.真正地；确实
1958.indefinite a.不明确的；不定的
1959.independence n.独立，自主，自立
1960.independent a.独立的；自主的
1961.index n.索引；指数；指标
1962.India n.印度
1963.Indian a.印度的 n.印度人
1964.indicate vt.标示，表示；表明
1965.indication n.指示；表示；表明
1966.indifferent a.冷漠的；不积极的
1967.indignant a.愤慨的，义愤的
1968.indirect a.间接的；不坦率的
1969.indispensable a.必不可少的，必需的
1970.individual a.个别的；独特的
1971.indoors ad.在室内，在屋里
1972.industrial a.工业的；产业的
1973.industrialize vt.使工业化
1974.industry n.工业，产业；勤劳
1975.inefficient a.效率低的，无能的
1976.inevitable a.不可避免的，必然的
1977.inexpensive a.花费不多的，廉价的
1978.infant n.婴儿 a.婴儿的
1979.infect vt.传染；感染
1980.infer vt.推论，推断；猜想
1981.inferior a.下等的；劣等的
1982.infinite a.无限的；无数的
1983.influence n.影响；势力 vt.影响
1984.influential a.有影响的；有权势的
1985.inform vt.通知，向…报告
1986.information n.消息，信息；通知
1987.inhabit vt.居住于，栖息于
1988.inhabitant n.居民，住户
1989.inherit vt.继承(传统等)
1990.initial a.最初的；词首的
1991.injection n.注射，注入；充满
1992.injure vt.伤害，损害，损伤
1993.injury n.损害，伤害；受伤处
1994.ink n.墨水，油墨
1995.inn n.小旅店；小酒店
1996.inner a.内部的；内心的
1997.innocent a.清白的，幼稚的
1998.input n.输入；投入的资金
1999.inquire vt.打听，询问；调查
2000.inquiry n.询问，打听；调查
2001.insect n.昆虫，虫
2002.insert vt.插入; 嵌入; 登载
2003.inside prep.在…里面 n.内部
2004.insist vi.坚持；坚持要求
2005.inspect vt.检查，审查；检阅
2006.inspection n.检查，审查；检阅
2007.inspire vt.鼓舞；给…以灵感
2008.install vt.安装，设置
2009.installation n.安装；装置；设施
2010.instance n.例子，实例，事例
2011.instant n.瞬间 a.立即的
2012.instantly ad.立即，即刻
2013.instead ad.代替，顶替；反而
2014.instinct n.本能；直觉；生性
2015.institute n.研究所；学院
2016.institution n.协会；制度，习俗
2017.instruct vt.教；指示；通知
2018.instruction n.命令；教学；教训
2019.instrument n.仪器；工具；乐器
2020.insufficient a.不足的；不适当的
2021.insult vt.&n.侮辱，凌辱
2022.insurance n.保险；保险费
2023.insure vt.给…保险；确保
2024.intellectual n.知识分子 a.智力的
2025.intelligence n.智力；理解力；情报
2026.intelligent a.聪明的；理智的
2027.intend vt.想要，打算；意指
2028.intense a.强烈的；紧张的
2029.intensity n.强烈，剧烈；强度
2030.intensive a.加强的；精耕细作的
2031.intention n.意图，意向，目的
2032.intentional a.故意的，有意识的
2033.interaction n.相互作用；干扰
2034.interest n.兴趣；利益；利息
2035.interesting a.有趣的，引人入胜的
2036.interfere vi.干涉，干预；妨碍
2037.interference n.干涉，干预；阻碍
2038.interior a.内的；内地的n.内部
2039.intermediate a.中间的；中级的
2040.internal a.内的；国内的
2041.international a.国际的，世界(性)的
2042.interpret vt.解释，说明；口译
2043.interpretation n.解释；口译
2044.interpreter n.译员，口译者
2045.interrupt vt.打断，打扰；中止
2046.interruption n.中断，打断；障碍物
2047.interval n.间隔；休息；间距
2048.interview n.接见；会见；面谈
2049.intimate a.亲密的；个人的
2050.into prep.进，入；进入到
2051.introduce vt.介绍；引进，传入
2052.introduction n.介绍；引进；引言
2053.invade vt.入侵，侵略；侵袭
2054.invasion n.入侵，侵略；侵犯
2055.invent vt.发明，创造；捏造
2056.invention n.发明，创造；捏造
2057.inventor n.发明者；发明家
2058.invest vt.投资；投入
2059.investigate vt.&vi.调查
2060.investigation n.调查，调查研究
2061.investment n.投资，投资额，投入
2062.invisible a.看不见的，无形的
2063.invitation n.邀请，招待；请柬
2064.invite vt.邀请，聘请；招待
2065.involve vt.使卷入；牵涉
2066.inward a.里面的 ad.向内
2067.iron n.铁；烙铁 vt.烫(衣)
2068.irregular a.不规则的；不整齐的
2069.island n.岛，岛屿
2070.isolate vt.使隔离，使孤立
2071.issue n.问题；发行 vt.发行
2072.it pron.这，那，它
2073.Italian a.意大利的n.意大利人
2074.item n.条，条款；一条
2075.its pron.它的
2076.itself pron.它自己；自身
2077.jacket n.短上衣，茄克衫
2078.jail n.监狱 vi.监禁
2079.jam n.果酱
2080.jam vt.使塞满；使堵塞
2081.January n.一月
2082.Japan n.日本，日本国
2083.Japanese a.日本的 n.日本人
2084.jar n.罐子，坛子，广口瓶
2085.jaw n.颌,颚
2086.jazz n.爵士音乐，爵士舞曲
2087.jealous a.妒忌的；猜疑的
2088.jet n.喷气式飞机；喷嘴
2089.jewel n.宝石；宝石饰物
2090.jewish a.犹太人的
2091.job n.职业；工作；零活
2092.join vt.参加；连接
2093.joint n.接头，接缝；关节
2094.joke n.笑话 vi.说笑话
2095.jolly a.快活的；令人高兴的
2096.journal n.日报，杂志；日志
2097.journalist n.记者，新闻工作者
2098.journey n.旅行，旅程 n.旅行
2099.joy n.欢乐，喜悦；乐事
2100.joyful a.十分喜悦的，快乐的
2101.judge n.法官；裁判员
2102.judgement n.意见；审判；判断
2103.juice n.(水果等)汁，液
2104.July n.七月
2105.jump vi.跳；暴涨 vt.跳过
2106.June n.六月
2107.jungle n.丛林，密林，莽丛
2108.junior a.年少的 n.晚辈
2109.jury n.陪审团；评奖团
2110.just ad.刚才；只是；正好
2111.justice n.正义，公正；司法
2112.justify vt.证明…是正当的
2113.keen a.热心的；激烈的
2114.keep vi.保持；坚持
2115.keeper n.看护人；饲养员
2116.kettle n.水壶，水锅
2117.key n.钥匙；键；答案
2118.keyboard n.键盘
2119.kick vi.&vt.&n.踢
2120.kid n.小孩，儿童，少年
2121.kill vi.杀死；扼杀；消磨
2122.kilogram n.千克，公斤
2123.kilometer n.千米，公里
2124.kind n.种类
2125.kind a.友好的；和蔼的
2126.kindness n.仁慈，好意
2127.king n.国王，君主
2128.kingdom n.王国；领域，界
2129.kiss vt.吻 vi.接吻 n.吻
2130.kitchen n.厨房，灶间
2131.kite n.风筝
2132.knee n.膝，膝盖，膝关节
2133.kneel vi.跪，跪下，跪着
2134.knife n.小刀，刀，餐刀
2135.knit vt.把…编结 vi.编织
2136.knob n.门把，拉手；旋纽
2137.knock vi.&vt.&n.敲，击，打
2138.knot n.(绳的)结，(树的)节
2139.know vt.知道；认识；通晓
2140.knowledge n.知识，学识；知道 
2141.lab n.实验室，研究室
2142.label n.标签；标记，符号
2143.laboratory n.实验室，研究室
2144.labour n.劳动；工作；劳工
2145.lace n.鞋带，系带；花边
2146.lack vi.&vi.&n.缺乏，不足
2147.ladder n.梯子，梯状物
2148.lady n.女士，夫人；贵妇人
2149.lag vi.走得慢 n.落后
2150.lake n.湖
2151.lamb n.羔羊，小羊；羔羊肉
2152.lame a.跛的；瘸的，残废的
2153.lamp n.灯
2154.land n.陆地；土地 vi.上岸
2155.landing n.上岸，登陆，着陆
2156.landlady n.女房东；女地主
2157.landlord n.地主；房东，店主
2158.lane n.(乡间)小路；跑道
2159.language n.语言，语言课程
2160.lantern n.提灯，灯笼
2161.lap n.膝部；一圈
2162.large a.大的；巨大的
2163.largely ad.大部分；大量地
2164.laser n.激光
2165.last a.最后的 ad.最后
2166.last vi.持续，持久；耐久
2167.late a.迟的 ad.迟，晚
2168.lately ad.最近，不久前
2169.later ad.后来；过一会儿
2170.Latin a.拉丁的 n.拉丁语
2171.latter a.(两者中)后者的
2172.laugh vi.笑，发笑 n.笑
2173.laughter n.笑，笑声
2174.launch vt.发射，投射；发动
2175.laundry n.洗衣房，洗衣店
2176.lavatory n.盥洗室，厕所
2177.law n.法律，法令；法则
2178.lawn n.草地，草坪，草场
2179.lawyer n.律师；法学家
2180.lay vt.置放；铺设；设置
2181.layer n.层，层次；铺设者
2182.layout n.布局，安排，设计
2183.lazy a.懒惰的，懒散的
2184.lead vt.为…带路；领导
2185.lead n.铅，铅制品
2186.leader n.领袖，领导人；首领
2187.leadership n.领导
2188.leading a.指导的；最主要的
2189.leaf n.叶，叶子
2190.league n.同盟，联盟；联合会
2191.leak vi.漏；泄露 n.漏洞
2192.lean vi.倾斜，屈身；*
2193.leap vi.跳，跃 n.跳跃
2194.learn vi.&vt.学，学习
2195.learned a.有学问的；学术上的
2196.learning n.学习；学问，知识
2197.least a.最少的 ad.最少
2198.leather n.皮革；皮革制品
2199.leave vi.离去 vt.离开
2200.lecture n.&vi.演讲，讲课
2201.left a.左边的 ad.在左边
2202.leg n.腿，腿部
2203.legal a.法律的；合法的
2204.legend n.传说，传奇
2205.leisure n.空闲时间；悠闲
2206.lemon n.柠檬，柠檬树
2207.lend vt.把…借给，贷(款)
2208.length n.长，长度；一段
2209.lens n.透镜，镜片；镜头
2210.less a.更少的 ad.更少地
2211.lessen vt.减少，减轻；缩小
2212.lesson n.功课，课；课程
2213.lest conj.惟恐，以免
2214.let vt.允许，让；使
2215.letter n.信；证书；字母
2216.level n.水平面 a.水平的
2217.lever n.杆，杠杆；控制杆
2218.liable a.易于…的；可能的
2219.liar n.说谎的人
2220.liberal a.心胸宽大的；慷慨的
2221.liberate vt.解放；释放
2222.liberation n.解放
2223.liberty n.自由；释放；许可
2224.librarian n.图书馆馆长
2225.library n.图书馆；藏书
2226.license n.许可；执照 vt.准许
2227.lick vt.舔；舔吃
2228.lid n.盖子，盖，囊盖
2229.lie vi.躺，平放；位于
2230.lie vi.说谎，欺骗 n.谎话
2231.lieutenant n.陆军中尉；副职官员
2232.life n.生命；一生；寿命
2233.lifetime n.一生，终身
2234.lift vt.提起，提高 n.电梯
2235.light n.光，光线；灯，光源
2236.light a.轻的，少量的
2237.lighten vt.照亮，使明亮
2238.lightly ad.轻轻地，轻松地
2239.lightning n.闪电，闪电放电
2240.like vt.喜欢；喜爱；希望
2241.like prep.像，如；像要
2242.likely a.可能的 ad.很可能
2243.likewise ad.同样地；也，又
2244.limb n.肢，臂，翼；树枝
2245.lime n.石灰
2246.limit n.限度；限制；范围
2247.limitation n.限制；限度，局限
2248.limited a.有限的
2249.line n.线；排；路线；线条
2250.linen n.亚麻布；亚麻织物
2251.liner n.班船，班机
2252.link vt.有环连接 n.环
2253.lion n.狮子；勇猛的人
2254.lip n.嘴唇
2255.liquid n.液体 a.液体的
2256.liquor n.酒；溶液，液剂
2257.list n.表，目录 n.列举
2258.listen vi.听，留神听；听从
2259.listener n.听者，听众之一
2260.liter n.升(容量单位)
2261.literary a.文学(上)的
2262.literature n.文学；文献
2263.little a.小的；少；幼小的
2264.live vi.居住；活 a.活的
2265.lively a.活泼的；逼真的
2266.liver n.肝；肝脏
2267.living a.活的 n.生活，生计
2268.living-room n.起居室
2269.load vt.装；装满 n.负载
2270.loaf n.一条面包，一个面包
2271.loan n.贷款；暂借 vt.借出
2272.local a.地方的；局部的
2273.locate vt.探明，找出，查出
2274.location n.位置，场所
2275.lock n.锁 vt.锁上，锁住
2276.locomotive n.火车头，机车
2277.lodge vi.暂住，借宿，投宿
2278.log n.原木，木料
2279.logic n.逻辑，推理；逻辑性
2280.logical a.逻辑的；符合逻辑的
2281.lonely a.孤独的；荒凉的
2282.long a.长的；远的 ad.长久
2283.long vi.渴望，极想念
2284.look vi.看，显得 n.看
2285.loop n.圈，环，环孔
2286.loose a.松的；宽松的
2287.loosen vt.解开；使松驰
2288.lord n.贵族；上帝，基督
2289.lorry n.运货汽车，卡车
2290.lose vt.失去；迷失；输掉
2291.loss n.遗失；损失；失败
2292.lot n.许多，大量；签，阄
2293.loud a.响亮的；吵闹的
2294.loudspeaker n.扬声器，喇叭
2295.love vt.爱，喜欢 n.爱
2296.lovely a.可爱的；令人愉快的
2297.lover n.爱好者；情人；情侣
2298.low a.低的，矮的；低下的
2299.lower a.较低的 vt.放下
2300.loyal a.忠诚的，忠心的
2301.loyalty n.忠诚，忠心
2302.luck n.运气；好运，幸运
2303.lucky a.幸运的；吉祥的
2304.luggage n.行李；皮箱，皮包
2305.lumber n.木材；木料；制材
2306.lump n.团，块；肿块
2307.lunch n.午餐，(美)便餐
2308.lung n.肺脏，肺
2309.luxury n.奢侈，奢华；奢侈品 
2310.machine n.机器；机械
2311.mad a.发疯的；恼火的
2312.madam n.夫人，女士，太太
2313.magazine n.杂志，期刊
2314.magic n.魔法，巫术；戏法
2315.magnet n.磁铁，磁石，磁体
2316.magnetic a.磁的，有吸引力的
2317.magnificent n.壮丽的；华丽的
2318.maid n.女佣，女仆；少女
2319.mail n.邮件 vt.邮寄
2320.main a.主要的，最重要的
2321.mainly ad.主要地，大体上
2322.mainland n.大陆
2323.maintain vt.维持；赡养；维修
2324.maintenance n.维持，保持；维修
2325.major a.较大的 n.专业
2326.majority n.多数，大多数
2327.make vt.使；做，制造
2328.male a.男的，雄的 n.男子
2329.man n.男人；人；人类
2330.manage vt.管理；设法；对付
2331.management n.管理；经营，处理
2332.manager n.经理，管理人
2333.mankind n.人类
2334.manly a.男子气概的，果断的
2335.manner n.方式；态度；礼貌
2336.manual a.体力的 n.手册
2337.manufacture vt.制造 n.制造；产品
2338.manufacturer n.制造商；制造厂
2339.many a.许多的 pron.许多人
2340.map n.地图；图；天体图
2341.marble n.大理石
2342.March n.三月
2343.march vi.行军；游行示威
2344.margin n.页边的空白；边缘
2345.marine a.海的；海上的
2346.mark n.斑点；记号 vt.标明
2347.market n.市场；集市；销路
2348.marriage n.结婚，婚姻；婚礼
2349.married a.已婚的；婚姻的
2350.marry vt.娶，嫁 vi.结婚
2351.marvelous a.奇迹般的；了不起的
2352.Marxisim n.马克思主义
2353.Marxist a.马克思主义的
2354.mask n.面具；伪装 vt.掩饰
2355.mass n.众多；团；群众
2356.master n.主人；能手；硕士
2357.masterpiece n.杰作，名著
2358.mat n.席子；草席；垫子
2359.match n.比赛，竞赛；对手
2360.match n.(一根)火柴
2361.mate n.伙伴，同事；配偶
2362.material n.材料；素材a.物质的
2363.materialism n.唯物主义
2364.mathematical a.数学的，数学上的
2365.mathematics n.数学
2366.maths n.(英)数学
2367.matter n.事情；物质 vi.要紧
2368.mature a.成熟的 vt.使成熟
2369.maximum n.最大量 a.最大的
2370.May n.五月
2371.may v.aux.可能；可以，祝
2372.maybe ad.大概，或许；也许
2373.mayor n.市长
2374.me pron.(宾格)我
2375.meadow n.草地，牧草地
2376.meal n.膳食，一餐
2377.mean vt.作…解释；意指
2378.mean a.自私的；吝啬的
2379.mean a.平均的 n.平均值
2380.meaning n.意义，意思；意图
2381.means n.方法，手段，工具
2382.meantime n.其时，其间 ad.当时
2383.meanwhile ad.同时，当时
2384.measurable a.可测量的
2385.measure vt.量，测量 n.分量
2386.measurement n.衡量，测量；尺寸
2387.meat n.肉
2388.mechanic n.技工，机械，机修工
2389.mechanical a.机械的；力学的
2390.mechanically ad.机械地
2391.mechanics n.力学；技术性细节
2392.medal n.奖章，勋章，纪念章
2393.medical a.医学的；内科的
2394.medicine n.内服药；医学
2395.Mediterranean n.地中海 a.地中海的
2396.medium n.媒质；中间a.中等的
2397.meet vt.遇见 vi.相遇
2398.meeting n.聚集，会合，会见
2399.melon n.瓜，甜瓜
2400.melt vi.融化 vt.使融化
2401.member n.成员，会员
2402.memorial a.纪念的；记忆的
2403.memory n.记忆；回忆；存储
2404.mend vt.修理，修补，缝补
2405.mental a.智力的；精神的
2406.mention vt.&n.提及，说起
2407.menu n.菜单；饭菜，菜肴
2408.merchant n.商人；零售商
2409.mercury n.水银，汞
2410.Mercury n.水星
2411.mercy n.仁慈，慈悲，恩惠
2412.mere a.仅仅的；纯粹的
2413.merely ad.仅仅，只不过
2414.merit n.长处，优点；功过
2415.merry a.欢乐的，愉快的
2416.mess n.混乱，混杂，肮脏
2417.message n.信息，消息；启示
2418.messenger n.送信者，信使
2419.metal n.金属，金属制品
2420.meter n.计量器，计，表
2421.method n.方法，办法；教学法
2422.metre n.米，公尺
2423.metric a.公制的，米制的
2424.microcomputer n.微型计算机，微机
2425.microphone n.话筒，麦克风
2426.microscope n.显微镜
2427.midday n.正午，中午
2428.middle n.中部 a.中部的
2429.midnight n.午夜，子夜，夜半
2430.midst n.中部，中间，当中
2431.might v.aux.可能，会，也许
2432.might n.力量，威力，能力
2433.mild a.和缓的；温柔的
2434.mile n.英里
2435.military a.军事的；军人的
2436.milk n.乳，牛奶 vt.挤(奶)
2437.mill n.磨坊；制造厂
2438.millimetre n.毫米
2439.million num.百万 n.许多
2440.mind n.头脑；理智；记忆
2441.mine pron.我的
2442.mine n.矿，矿山；地雷
2443.miner n.矿工
2444.mineral n.矿物 a.矿物的
2445.minimum n.最小量 a.最小的
2446.minister n.部长，大臣；公使
2447.ministry n.(政府的)部
2448.minor a.较小的；较次要的
2449.minority n.少数；少数民族
2450.minus a.负的 prep.减(去)
2451.minute n.分，分钟；一会儿
2452.minute a.微细的；详细的
2453.miracle n.奇迹，令人惊奇的人
2454.mirror n.镜子 vt.反映，反射
2455.miserable a.痛苦的，悲惨的
2456.mislead vt.使误入岐途
2457.miss n.小姐
2458.miss vt.未看到；惦念
2459.missile n.发射物；导弹
2460.missing a.缺掉的，失去的
2461.mission n.使命，任务；使团
2462.mist n.薄雾
